Domain,Price,Venue
566.cc,$35,503,GoDaddy
kanav.com,$22,000,Afternic
marinaratimer.com,$21,350,GoDaddy
concert.org,$16,588,DropCatch
ai.ventures,$16,520,Afternic
off.org,$13,099,GoDaddy
tybeebubbags.com,$10,250,GoDaddy
loopgo.com,$9,899,Afternic
cornburyfestival.com,$9,501,GoDaddy
vacantes.com,$9,101,GoDaddy
pacbio.com,$8,000,DropCatch
join-real.com,$7,601,GoDaddy
lvll.com,$7,600,Park.io
1118.cc,$7,500,GoDaddy
qbell.com,$7,000,Afternic
twuffer.com,$6,544,Namecheap
safeandsoundpets.com,$6,501,GoDaddy
contrarian.org,$5,469,GoDaddy
midwestguest.com,$5,001,GoDaddy
rumor.io,$4,843,Atom.com
moneyfit.com,$4,102,DropCatch
spacespacespaceletter.com,$4,050,GoDaddy
agentictax.com,$3,999,Afternic
glowtexas.com,$3,950,GoDaddy
jeffmalpas.com,$3,938,GoDaddy
just1.com,$3,700,GoDaddy
argevansville.org,$3,638,GoDaddy
secureoffer.com,$3,151,GoDaddy
temex.com,$3,088,DropCatch
thatcutelittlecake.com,$3,061,GoDaddy
maxforums.org,$3,050,DropCatch
thewidely.com,$3,000,DropCatch
cambridgeanalytica.org,$2,850,Namecheap
hideoutai.com,$2,609,Atom.com
casadeemanuelitalian.com,$2,605,GoDaddy
aitu-iuta.org,$2,500,Namecheap
fattysorganicspirits.com,$2,340,GoDaddy
proximum.com,$2,250,DropCatch
johnnysmoneybar.com,$2,247,GoDaddy
icetowncarlsbad.com,$2,136,GoDaddy
hannovermesseusa.com,$2,135,GoDaddy
mg24h.com,$2,131,GoDaddy
fayuca-music.com,$2,100,GoDaddy
guillermoguiz.com,$2,100,DropCatch
companylending.com,$2,025,GoDaddy
wearebristle.com,$2,025,GoDaddy
upshyft.com,$1,999,Atom.com
maxdoutdonuts.com,$1,925,GoDaddy
around-the-world.com,$1,913,GoDaddy
dot-nxt.com,$1,913,GoDaddy
wijs.com,$1,900,DropCatch
nickfy.com,$1,875,GoDaddy
bezgluten.net,$1,850,Namecheap
tidewaterfamily.com,$1,825,GoDaddy
nug.ai,$1,802,Namecheap
kirkey.com,$1,775,Namecheap
perfomatix.com,$1,750,GoDaddy
powrs.xyz,$1,725,Dynadot
turismocuatro.com,$1,600,DropCatch
celebshistory.com,$1,575,Namecheap
ananda.ai,$1,553,Namecheap
schreibenhilfe.com,$1,525,Namecheap
rosinhoteljogja.com,$1,525,GoDaddy
ciifen-int.org,$1,502,DropCatch
immoving.com,$1,469,GoDaddy
wzzn.com,$1,435,GoDaddy
keygenstore.com,$1,425,Namecheap
roblechman.com,$1,413,GoDaddy
wlshoes.com,$1,408,Namecheap
freemanmazda.net,$1,325,GoDaddy
jetmind.com,$1,325,GoDaddy
scbr.com,$1,300,Park.io
namarva.com,$1,275,GoDaddy
livingplanet2013.org,$1,263,GoDaddy
theuncondemned.com,$1,255,GoDaddy
lushgardenandcafe.com,$1,247,GoDaddy
crepehousebrunch.com,$1,236,GoDaddy
sevensongsfarm.com,$1,225,Namecheap
walltowallwpg.com,$1,225,GoDaddy
auraair.com,$1,205,GoDaddy
truerepublic.com,$1,169,DropCatch
valuelodgealpine.com,$1,136,GoDaddy
jenkinsinstitute.org,$1,126,GoDaddy
stepinclinics.com,$1,105,GoDaddy
peanutfactorylofts.com,$1,075,GoDaddy
nbspolicyplatform.org,$1,050,DropCatch
planetamusica.net,$1,041,GoDaddy
fantasycrypto.com,$1,026,GoDaddy
wholesaleleathersupplier.com,$1,025,GoDaddy
ladyera.org,$1,025,GoDaddy
winningwithals.org,$1,025,GoDaddy
urgentcarestuttgart.com,$1,000,GoDaddy
flutejournal.com,$999,GoDaddy
brandoville.com,$955,GoDaddy
gustav-heinemann-schule.org,$951,DropCatch
henrysnyc.com,$950,DropCatch
joestowingny.com,$940,GoDaddy
rewired.ai,$930,Namecheap
documentop.com,$910,Namecheap
mkaleh.com,$910,Namecheap
franklinsquarepharmacy.com,$910,GoDaddy
hnav.com,$900,DropCatch
lawrencemenus.com,$898,GoDaddy
bsmsummit.com,$898,GoDaddy
petersenlawgroup.com,$870,GoDaddy
cemllaw.com,$870,GoDaddy
nphlm.org,$860,GoDaddy
evershineexports.com,$860,GoDaddy
pacificcrestneurology.com,$820,GoDaddy
vacationchoices.com,$817,GoDaddy
mywawavisitz.com,$810,Namecheap
hotel-regina-louvre.com,$810,Namecheap
skiers-lodge.eu.com,$810,Namecheap
ejustice.eu.com,$810,Namecheap
tatvida.com,$810,GoDaddy
handsonart4everyone.com,$810,GoDaddy
alraouche.com,$810,GoDaddy
moscatoismymantra.com,$810,GoDaddy
theashmoresblog.com,$808,GoDaddy
folsomsoftballclub.com,$800,DropCatch
fareguru.com,$788,GoDaddy
howtomammamia.com,$787,GoDaddy
modernfuture.com,$781,GoDaddy
physiciancoachsupport.com,$780,GoDaddy
ignitor.ai,$770,Namecheap
mosaichome.com,$765,GoDaddy
kamila.ai,$760,Namecheap
lascrucesmariachi.org,$760,GoDaddy
creatorbio.com,$751,GoDaddy
nextup.io,$730,GoDaddy
dom.us.com,$712,Namecheap
62restaurant.com,$711,Namecheap
yaprak-locksheath.com,$710,GoDaddy
redwoodtall.com,$700,Namecheap
lacasadeltoner.cl,$700,Catched.com
bohmy.com,$700,DropCatch
shortco.com,$685,Dynadot
novohealthcare.com,$666,GoDaddy
thefreshfridge.com,$665,GoDaddy
jumpgames.com,$660,GoDaddy
noticianorte.com,$650,DropCatch
teezo.com,$640,GoDaddy
lpm2024.com,$630,DropCatch
curvedspine.com,$621,GoDaddy
