Domain,Price,Venue
bewell.com,$55,777,GoDaddy
usd.org,$26,369,DropCatch
visiontechcamps.com,$15,250,GoDaddy
uicmgh.org,$14,750,GoDaddy
arctic-lio.com,$12,750,GoDaddy
talentblocks.com,$9,870,Atom.com
verifiedseller.com,$9,788,Afternic
lawcollect.com,$9,400,GoDaddy
happytovisit.com,$9,200,GoDaddy
governsmarter.org,$6,766,GoDaddy
tpscollegepatna.org,$6,433,GoDaddy
themeathouse.com,$6,100,GoDaddy
intercode.ai,$5,690,Namecheap
firstgrade.com,$5,250,DropCatch
bartending.org,$5,029,GoDaddy
gxl.ai,$4,999,Atom.com
hellopenny.com,$4,949,Afternic
wizardexploratorium.io,$4,750,GoDaddy
secretgarden-cafe.com,$4,636,GoDaddy
shop-casa-delonghi.com,$4,510,DropCatch
aieq.com,$4,207,GoDaddy
printshoprestaurant.com,$4,111,GoDaddy
codevida.org,$4,051,GoDaddy
meridianpint.com,$4,051,GoDaddy
soris.ai,$3,850,Spaceship.com
healthfairconnections.com,$3,826,GoDaddy
villanellenyc.com,$3,806,Namecheap
fybe.com,$3,775,GoDaddy
titancabinets.com,$3,600,Afternic
curtislaw-pllc.com,$3,550,GoDaddy
launchbay.ai,$3,200,Atom.com
dcikabakery.com,$3,161,GoDaddy
v45.com,$3,101,DropCatch
blackupcosmetics.com,$3,100,DropCatch
schoonerssantaclarita.com,$3,050,GoDaddy
thesurvivalistblog.net,$3,001,GoDaddy
mrhandy.com,$2,842,DropCatch
kelos.com,$2,699,DropCatch
pnt.ai,$2,675,Namecheap
gunma-dc.net,$2,599,DropCatch
upvote.ai,$2,339,Namecheap
grahamclark.com,$2,325,GoDaddy
weavecomic.com,$2,133,Namecheap
iristechnologies.com,$2,111,DropCatch
iopconfs.org,$1,980,DropCatch
pakistanherald.com,$1,975,GoDaddy
pdq.ai,$1,889,Namecheap
zevo.ai,$1,839,Namecheap
promo-optique.com,$1,805,DropCatch
idpelacakan.com,$1,725,Namecheap
curatorjournal.org,$1,725,GoDaddy
lezoemusings.com,$1,711,DropCatch
mess-earth.org,$1,700,DropCatch
greatbeerexpo.com,$1,626,GoDaddy
pocketwin.com,$1,600,DropCatch
unis.ai,$1,580,Namecheap
nashvilleheatsauces.com,$1,580,GoDaddy
svmri.com,$1,575,GoDaddy
nse.ai,$1,526,Namecheap
pinelandsimagery.com,$1,526,GoDaddy
rowableclassics.com,$1,526,GoDaddy
pimova.com,$1,525,Namecheap
wingedfist.org,$1,525,GoDaddy
nusmathsoc.org,$1,525,GoDaddy
kyabistro.com,$1,525,GoDaddy
thebackroadbabe.com,$1,525,GoDaddy
gpalminvestments.com,$1,525,Dynadot
carbyn.com,$1,522,DropCatch
jillcorey.net,$1,500,GoDaddy
addictionandart.org,$1,500,GoDaddy
drwod.com,$1,500,DropCatch
signin.co,$1,383,GoDaddy
teacup.org,$1,333,GoDaddy
digitalarch.com,$1,327,GoDaddy
guidr.com,$1,304,GoDaddy
nmsolargroup.com,$1,300,GoDaddy
marcelbroquet.com,$1,275,Namecheap
schoonerslancaster.com,$1,263,GoDaddy
centaursystems.com,$1,235,GoDaddy
isnetworld.us.com,$1,227,Namecheap
themistressofbooks.com,$1,226,GoDaddy
westfesthawaii.com,$1,226,GoDaddy
leesburgpartnership.com,$1,225,GoDaddy
supportmanstonairport.org,$1,225,GoDaddy
xanfi.com,$1,200,DropCatch
361nn.com,$1,197,Dynadot
woodlandsaxe.com,$1,175,GoDaddy
ginnysgirlgang.com,$1,136,GoDaddy
autolegend.com,$1,130,DropCatch
moralheroes.org,$1,126,GoDaddy
