Domain,Price,Venue
super.xyz,$287,607,Atom.com
capy.ai,$50,000,Afternic
breastcancer.ca,$27,515,Afternic
oxbow.ai,$20,000,Reg.AI
seasandsunpty.com,$16,761,GoDaddy
gymsupplements.com,$14,888,DomainMarket.com
stir.ai,$14,641,Namecheap
paramountgrill.com,$14,361,GoDaddy
masaonline.org,$9,000,GoDaddy
taxfile.com,$7,600,GoDaddy
upwind.ai,$5,955,Namecheap
taqueriadelmar.com,$5,688,GoDaddy
hybridhelix.com,$5,600,Atom.com
adinross.com,$5,101,GoDaddy
bennettsmarket.com,$5,100,GoDaddy
realfake.com,$5,036,GoDaddy
mistt.com,$5,000,Atom.com
webbsantiquemall.com,$4,050,GoDaddy
arcten.com,$4,049,Atom.com
opengo.com,$3,900,DropCatch
alleasy.com,$3,766,DropCatch
homerehab.com,$3,750,GoDaddy
wingspizzanthings.com,$3,700,GoDaddy
ibankroll.com,$3,600,Afternic
michaelannmade.com,$3,426,GoDaddy
mesutoezil.com,$3,360,DropCatch
thekitchenbronx.com,$3,183,GoDaddy
churchgiving.org,$3,000,Namecheap
thedrakeokc.com,$2,900,DropCatch
innatsteamboat.com,$2,850,GoDaddy
filleritem.com,$2,700,GoDaddy
theadelitaschicago.com,$2,650,GoDaddy
wildpurveyors.com,$2,625,GoDaddy
sublevel.com,$2,561,GoDaddy
jacquelinelaurita.com,$2,550,GoDaddy
latavolatn.com,$2,550,GoDaddy
88gj.com,$2,550,GoDaddy
neverasolidaria.org,$2,500,DropCatch
paragonorthopedic.com,$2,301,GoDaddy
pureelm.com,$2,202,Atom.com
infocus.ai,$2,199,Atom.com
orecifeassombrado.com,$2,181,GoDaddy
broadwayfestivals.com,$2,146,GoDaddy
sageonlaurel.com,$2,146,GoDaddy
ibeo.com,$2,104,DropCatch
foundlingpaul.com,$2,100,GoDaddy
renewatlantabond.com,$2,075,Namecheap
redwoodvalleyrailway.com,$2,075,Namecheap
ofounders.net,$2,025,GoDaddy
jvsevents.com,$1,925,GoDaddy
vapesupplier.com,$1,875,GoDaddy
isaleskit.com,$1,858,GoDaddy
sunengis.com,$1,850,Namecheap
katiedsnybagelsanddeli.com,$1,825,GoDaddy
monstershow.net,$1,825,GoDaddy
cosmosmith.com,$1,825,GoDaddy
nauticalholidays.com,$1,745,GoDaddy
elconjuntonuevaola.com,$1,681,GoDaddy
mbh.ai,$1,675,Namecheap
ireachcontent.com,$1,670,DropCatch
michaelkusugak.com,$1,625,GoDaddy
illusions.ai,$1,600,Namecheap
sternwomen.org,$1,575,GoDaddy
coa.us.com,$1,527,Namecheap
tmconsulting.us.com,$1,527,Namecheap
doko.ai,$1,525,Namecheap
asianfusionkitchenbrooklyn.com,$1,525,GoDaddy
modawellness.com,$1,500,GoDaddy
scalablemarketing.com,$1,500,GoDaddy
francoisvogel.com,$1,500,DropCatch
aprilrosenblum.com,$1,500,DropCatch
final.gg,$1,499,Atom.com
bayhavenrestaurantgroup.com,$1,481,GoDaddy
winstorm.com,$1,450,DropCatch
elhysa.org,$1,445,GoDaddy
barbaragoldsmith.com,$1,445,GoDaddy
cobrew.com,$1,411,GoDaddy
kahvevancouver.com,$1,400,GoDaddy
raminc.us.com,$1,302,Namecheap
businessfirm.com,$1,302,DropCatch
seattlerockorchestra.org,$1,300,DropCatch
jasmine.org,$1,247,Namecheap
uspslitebluelogin.net,$1,247,Namecheap
otw.ai,$1,247,Namecheap
c4ios.com,$1,245,GoDaddy
spoyl.com,$1,241,Dynadot
tailbits.com,$1,235,Namecheap
mdconnect.us.com,$1,227,Namecheap
syafiqmukhtar.com,$1,205,Namecheap
dentistbellville.com,$1,150,Namecheap
thewashingtonny.com,$1,125,GoDaddy
bigislandgazette.com,$1,125,GoDaddy
prinniefied.com,$1,101,GoDaddy
custos.ai,$1,100,Namecheap
thegamegenie.com,$1,084,GoDaddy
sambarhino.com,$1,075,Namecheap
clydesideautorecyclers.com,$1,075,GoDaddy
churchassist.com,$1,050,GoDaddy
vmgmedia.us.com,$1,010,Namecheap
pccare.us.com,$1,010,Namecheap
ici.us.com,$1,010,Namecheap
vitastik.de.com,$1,010,Namecheap
artgenic.us.com,$1,010,Namecheap
mycamp.us.com,$1,010,Namecheap
bob.us.com,$1,010,Namecheap
casepoint.us.com,$1,010,Namecheap
golf.de.com,$1,010,Namecheap
findaprojectpartner.us.com,$1,010,Namecheap
skyshotdesign.us.com,$1,010,Namecheap
soullighthealing.us.com,$1,010,Namecheap
onlinecourses.us.com,$1,010,Namecheap
healthsource.us.com,$1,010,Namecheap
courtrecords.us.com,$1,010,Namecheap
powersearch.us.com,$1,010,Namecheap
casinos.de.com,$1,010,Namecheap
typo3.de.com,$1,010,Namecheap
mkoutlet.us.com,$1,002,Namecheap
hispaniaracing.com,$1,000,DropCatch
lalabee.com,$1,000,DropCatch
iranmct.com,$930,GoDaddy
relx.ai,$910,Namecheap
kamine.de.com,$910,Namecheap
iceinc.us.com,$910,Namecheap
groom.de.com,$910,Namecheap
hypevault.com,$902,GoDaddy
jointenterprise.co,$897,GoDaddy
hrcore.com,$893,GoDaddy
jonesairconditioning.com,$860,GoDaddy
rentlog.com,$860,GoDaddy
eastwestbioscience.com,$860,GoDaddy
desamudavillage.com,$860,GoDaddy
kiokengutenberg.com,$850,DropCatch
milagroscoffeehouse.org,$850,DropCatch
satchel.ai,$830,Namecheap
elitefunnels.com,$825,GoDaddy
stpaulsportshow.com,$811,GoDaddy
technogeekzone.com,$810,Namecheap
playadventureparks.com,$810,GoDaddy
marinarollman.com,$810,DropCatch
talahon.com,$806,DropCatch
blueprintsforsewing.com,$801,DropCatch
girlsofsummerlist.com,$800,DropCatch
sightly.ai,$777,Namecheap
wearemanifesto.com,$770,Namecheap
xploreair.com,$770,GoDaddy
novated.com,$766,Dynadot
liveadmin.com,$761,GoDaddy
hollywoodinsurance.com,$761,GoDaddy
atikha.org,$760,GoDaddy
bisaindonesia.com,$760,GoDaddy
amunt.com,$754,DropCatch
hubq.com,$740,GoDaddy
westhillsmempark.com,$711,GoDaddy
becksbeersettlement.com,$710,Namecheap
highbeam.ai,$709,Namecheap
yts.ai,$706,Namecheap
ucase.com,$701,DropCatch
pathme.com,$692,GoDaddy
millstadtpharmacy.com,$690,GoDaddy
lin-morris.com,$670,GoDaddy
adepes.org,$650,DropCatch
nsclean.com,$650,DropCatch
hisbarberhersalon.com,$635,GoDaddy
zrm.ai,$633,Namecheap
e-hentai.me,$620,Dynadot
bet.de.com,$610,Namecheap
paolispizzeriapianobar.com,$610,GoDaddy
lasvegastranspride.org,$610,GoDaddy
pacifictunaalliance.org,$610,GoDaddy
blocktools.org,$610,GoDaddy
fatma.net,$608,GoDaddy
generationhope.com,$583,GoDaddy
perrygeo.net,$575,GoDaddy
juggler.ai,$566,Namecheap
allergisidan.com,$566,GoDaddy
uivz.com,$565,Namecheap
ed23hoops.com,$565,GoDaddy
familypromiseverdugos.org,$565,GoDaddy
ouipleasebox.com,$565,GoDaddy
senecaescapezones.com,$565,GoDaddy
socialt.biz,$565,GoDaddy
empoweryouthforwork.org,$562,Dynadot
fundmanager.ai,$560,Namecheap
alertamigratorianc.org,$557,DropCatch
hugegames.com,$557,DropCatch
vyx.ai,$555,Namecheap
lpes.org,$550,DropCatch
fronterainvisible.com,$550,DropCatch
ginokenny.com,$550,DropCatch
pestarakyatsimpedes.com,$550,DropCatch
ldiibanten.org,$550,DropCatch
caribetukwila.com,$549,GoDaddy
historyinpolitics.org,$540,Namecheap
mamabearct.com,$530,GoDaddy
lottousdt.com,$530,GoDaddy
homemadedesifood.com,$515,GoDaddy
workspacecafe.co,$510,GoDaddy
diamondruggallery.com,$510,GoDaddy
kidcrossingmissoula.com,$510,GoDaddy
universityparkifc.com,$510,GoDaddy
morninghangovertipsheet.com,$504,Namecheap
flowlee.com,$500,GoDaddy
idacounty.org,$500,DropCatch
aatmcongress2024.com,$493,GoDaddy
mycarehealth.com,$490,GoDaddy
sprucer.com,$490,GoDaddy
makeimage.com,$489,DropCatch
openmcp.pro,$488,Afternic
nappy.ai,$485,Namecheap
performapp.com,$485,GoDaddy
searchx.ai,$480,Namecheap
frugalfoodie.com,$474,GoDaddy
100percentcampaign.org,$470,DropCatch
gamesslot.com,$465,GoDaddy
theculturecoach.com,$461,GoDaddy
plumbrightservices.net,$460,GoDaddy
amberunicornbooks.com,$458,GoDaddy
barbacoadictos.com,$455,Namecheap
x388.com,$455,GoDaddy
ccstar.com,$450,DropCatch
armorconstruction.com,$435,GoDaddy
heidelbergsportsmensassociation.org,$435,GoDaddy
learningai.io,$430,GoDaddy
stoptorture.org,$430,DropCatch
uscaptioning.com,$429,GoDaddy
sunflowervillagestudio.com,$425,GoDaddy
beachylife.com,$420,GoDaddy
gigaset-elements.com,$420,DropCatch
trenerforeningen.org,$420,DropCatch
sravni.org,$415,Namecheap
balsys.com,$415,GoDaddy
barsanctuary.com,$415,GoDaddy
mindtopia.com,$409,GoDaddy
mukilteofarmersmarket.org,$405,Namecheap
allpremiumthemes.com,$405,Namecheap
ctcc.uk.com,$405,Namecheap
ramenkoo.com,$405,Namecheap
vacantevacante.com,$405,GoDaddy
convectionhvac.com,$405,GoDaddy
tredericksseafoodandgrill.com,$404,Namecheap
chain2.com,$403,GoDaddy
rgindustrial.com,$402,GoDaddy
vantagedelivery.com,$393,GoDaddy
teenchatrooms.com,$388,GoDaddy
brandedai.com,$384,Namecheap
thekindergarten.com,$383,GoDaddy
globaldominance.com,$381,GoDaddy
wiped.ai,$380,Namecheap
peru-japan.org,$380,DropCatch
digitalsuperhero.com,$370,GoDaddy
cashally.com,$368,Dynadot
sanctuarynotdeportation.org,$365,Namecheap
sansego.com,$364,DropCatch
sushibyhan.com,$360,Namecheap
farmvilleseafoodrestaurant.com,$360,GoDaddy
morrisautomotivesupply.com,$360,GoDaddy
bullcityhomebrew.com,$360,GoDaddy
smarttiz.com,$358,Namecheap
conet.ai,$355,Namecheap
blacksheepspringfield.com,$355,Namecheap
alotruyentranh.com,$355,Namecheap
panamacityfoodreviews.com,$355,Namecheap
katelynyntema.com,$355,GoDaddy
whitesandcompanyjewelry.com,$355,GoDaddy
urbanvancouver.com,$355,GoDaddy
bizjournalinsider.com,$355,GoDaddy
englishdefenceleague.org,$355,GoDaddy
456786.com,$355,GoDaddy
stlukeameharlem.org,$355,GoDaddy
partysmile.com,$355,GoDaddy
digitalmarketingsuite.com,$355,GoDaddy
grubstakepizza.com,$355,GoDaddy
elonproductions.com,$355,GoDaddy
