"Domain","Price","Venue"
"lykkeli.com","$11,600","DropCatch"
"7134.com","$10,750","GoDaddy"
"echelonfitness.com","$9,888","DomainMarket.com"
"woodfiredpizzatampa.com","$7,600","GoDaddy"
"rarbg.to","$5,250","Park.io"
"netrock.com","$5,150","GoDaddy"
"videosleaks.com","$3,939","Dynadot"
"classmates.org","$3,756","GoDaddy"
"kamanakitchen.com","$3,700","GoDaddy"
"telecommuting.com","$3,700","DropCatch"
"bloomfarmswellness.com","$3,650","GoDaddy"
"goodsteer.com","$3,300","GoDaddy"
"thefeedfoundation.org","$3,155","GoDaddy"
"coinhub.org","$3,150","GoDaddy"
"alumniemail.com","$3,088","BuyDomains"
"mastiffassociation.com","$3,050","GoDaddy"
"purifytheplanet.com","$2,888","Afternic"
"playground-atx.com","$2,850","GoDaddy"
"thezerowastenetwork.com","$2,800","GoDaddy"
"stpaulsummerbeerfest.com","$2,738","GoDaddy"
"bossmedia.com","$2,601","DropCatch"
"petrolinkusa.com","$2,552","GoDaddy"
"jobfairs.com","$2,550","GoDaddy"
"madeinderbyshire.org","$2,550","GoDaddy"
"bellapartmentliving.com","$2,325","GoDaddy"
"akadvertising.com","$2,288","BuyDomains"
"thevitallife.com","$2,188","BuyDomains"
"bargains.ai","$2,125","Namecheap"
"restaurantepuertoescondido.com","$2,025","GoDaddy"
"gameofthronesbr.com","$2,024","GoDaddy"
"thepommier.com","$1,976","GoDaddy"
"dyadwinebar.com","$1,924","GoDaddy"
"onretainer.com","$1,888","BuyDomains"
"fullshillingpub.com","$1,825","GoDaddy"
"theriverroomevents.com","$1,825","GoDaddy"
"ifredi-cambodia.org","$1,825","GoDaddy"
"aphilosopherstake.com","$1,800","GoDaddy"
"heritagefamilypantry.com","$1,691","GoDaddy"
"identifythiscaller.com","$1,675","GoDaddy"
"instruction.net","$1,625","GoDaddy"
"healthbasics.com","$1,600","Private"
"77566.com","$1,528","GoDaddy"
"thefoodoasis.com","$1,525","Namecheap"
"fairbeans.com","$1,525","Namecheap"
"shazzlemail.com","$1,525","GoDaddy"
"sixhorsestavern.com","$1,525","GoDaddy"
"premiumfasteners.com","$1,488","BuyDomains"
"karan.co","$1,400","DAN.com"
"theblogpress.com","$1,375","GoDaddy"
"anyf.org","$1,375","GoDaddy"
"stylekit.com","$1,300","GoDaddy"
"dtgdigital.com","$1,299","GoDaddy"
"tlgm.com","$1,151","GoDaddy"
"fullseo.com","$1,110","GoDaddy"
"cometsolutions.com","$1,075","GoDaddy"
"nemacweb.org","$1,025","GoDaddy"
"foragersmarkets.com","$1,000","GoDaddy"
"sparks.org","$999","Sav.com"
"hudsonstreet.com","$965","GoDaddy"
"kspartners.com","$950","DropCatch"
"a1roofingdurhamnc.com","$910","GoDaddy"
"semlauction.com","$885","GoDaddy"
"franciscans.com","$866","DropCatch"
"billingschristianschool.org","$811","GoDaddy"
"veronicagrant.com","$810","GoDaddy"
"themantelokc.com","$810","GoDaddy"
"shuggilippo.com","$810","GoDaddy"
"77049.com","$800","GoDaddy"
"duffus.com","$768","GoDaddy"
"riverwinds.com","$755","GoDaddy"
"semda.net","$721","GoDaddy"
"medicalbureau.com","$700","DropCatch"
"prosip.com","$690","GoDaddy"
"macssilverton.com","$671","GoDaddy"
"cinemaimperial.com","$660","DropCatch"
"verus.net","$651","DropCatch"
"beyondsearch.com","$639","GoDaddy"
"undergroundsnax.com","$600","GoDaddy"
"sweetenersuncovered.com","$600","DropCatch"
"protectus.org","$598","GoDaddy"
"winebarinpittsfordny.com","$595","Namecheap"
"gatewayvillagetx.com","$590","GoDaddy"
"grateful.xyz","$590","GoDaddy"
"bellomagazine.com","$585","GoDaddy"
"libertasceresetto.com","$575","GoDaddy"
"decompressionwinterpark.com","$575","GoDaddy"
"travel-vermont.com","$565","GoDaddy"
"eatpizzafuego.com","$565","GoDaddy"
"abbycolbyareachamber.org","$560","GoDaddy"
"portcitybarbecue.com","$555","GoDaddy"
"newchinacitygrandhaven.com","$518","GoDaddy"
"latinafatale.com","$510","GoDaddy"
"maddymorphosis.com","$510","GoDaddy"
"bounceaboutva.com","$510","GoDaddy"
"yogispizza.com","$510","GoDaddy"
"awsvpni.com","$505","GoDaddy"
"monkeytalk.com","$504","GoDaddy"
"siobhandaviesreplay.com","$504","GoDaddy"
"borderlessblog.com","$500","GoDaddy"
"funnelanalytics.com","$493","GoDaddy"
"77554.com","$489","GoDaddy"
"gmcasino.com","$480","GoDaddy"
"8969.cc","$470","GoDaddy"
"orkidcosmetics.com","$465","GoDaddy"
"pdlogistics.com","$463","GoDaddy"
"dmcedumoga.com","$456","GoDaddy"
"mexicotravelconcierge.com","$455","GoDaddy"
"albaniatourism.info","$455","GoDaddy"
"classmate.org","$455","GoDaddy"
"yosemiteclimbingmuseum.com","$449","GoDaddy"
"brajuu.com","$431","GoDaddy"
"abrohilo.org","$430","GoDaddy"
"bxld.com","$415","GoDaddy"
"hamdata.com","$415","GoDaddy"
"lasvegasticket.com","$410","GoDaddy"
"nftpools.com","$407","GoDaddy"
"saletopia.com","$405","GoDaddy"
"countryestatesrealty.com","$405","GoDaddy"
"cfw.ai","$399","Namecheap"
"pregs.com","$398","GoDaddy"
"glamourzone.com","$390","GoDaddy"
"oneboxhd.org","$390","GoDaddy"
"capital3.com","$389","DropCatch"
"thestickchair.com","$385","GoDaddy"
"jiw.net","$385","Dynadot"
"safaris.net","$383","GoDaddy"
"bridecity.com","$381","GoDaddy"
"8929.cc","$378","GoDaddy"
"xbtgame.com","$375","Afternic"
"worldecommerceawards.com","$370","GoDaddy"
"candyfreeze.com","$365","GoDaddy"
"hellospark.com","$362","GoDaddy"
"climatescienceamerica.org","$355","Namecheap"
"cruklungcentre.org","$355","Sav.com"
"jimmycnewman.net","$355","GoDaddy"
"itefli.com","$355","GoDaddy"
"connectdot.com","$348","GoDaddy"
"cityofpoker.com","$345","GoDaddy"
"miprv.com","$340","DropCatch"
"thecryptoguide.com","$338","Dynadot"
"firecitygrill2.com","$338","GoDaddy"
"alznorcal.org","$335","Namecheap"
"foundersacademylv.com","$327","GoDaddy"
"wowbistro.com","$327","GoDaddy"
"samiaid.com","$325","GoDaddy"
"artsandlabs.com","$325","DropCatch"
"infinitymartialarts.org","$314","GoDaddy"
"fcdynamosfv.com","$314","GoDaddy"
"relojesflash.com","$312","Dynadot"
"nftdraw.com","$310","GoDaddy"
"theguardianlawfirm.com","$308","GoDaddy"
"chezfrances.com","$306","GoDaddy"
"yo88.net","$305","Namecheap"
"shootoffapp.com","$305","Namecheap"
"captainrooter-plumbing.com","$305","GoDaddy"
"lendgreen.com","$305","GoDaddy"
"sccheart.com","$305","GoDaddy"
"greenhandfarmpark.com","$305","GoDaddy"
"yourdiabetes.net","$305","GoDaddy"
"tableandtoniccapecharles.com","$305","GoDaddy"
"fortjacksonleader.com","$305","GoDaddy"
"emilialive.com","$305","GoDaddy"
"manifestsmagic.com","$304","GoDaddy"
"numbersforsupport.com","$304","GoDaddy"
"thinkingbell.com","$300","GoDaddy"
"chamber9.com","$299","Sedo"
"776709.com","$296","GoDaddy"
"want2stop.info","$295","GoDaddy"
"reinigungskraft.com","$295","DropCatch"
"mumblewords.net","$285","GoDaddy"
"saintshop.com","$284","GoDaddy"
"frankcalise.com","$270","GoDaddy"
"k9medsdirectco.com","$270","GoDaddy"
"name-pics.com","$265","Namecheap"
"dmnprotary.org","$265","GoDaddy"
"letsyep.com","$264","GoDaddy"
"maltaturkishbarber.com","$263","GoDaddy"
"directedai.com","$262","GoDaddy"
"epicgroupwriters.com","$260","GoDaddy"
"matrix44.net","$260","GoDaddy"
"towtruckmurfreesboro.com","$255","GoDaddy"
"lucysdriveinn.com","$255","GoDaddy"
"wearefigueras.com","$243","GoDaddy"
"gamebox.systems","$242","Catched.com"
"mrshrimp504.com","$241","GoDaddy"
"oxfordaviation.net","$240","GoDaddy"
"janelecroy.com","$237","GoDaddy"
"floatingshop.com","$234","GoDaddy"
"cannabisprofessionals.com","$227","GoDaddy"
"bonby.com","$226","GoDaddy"
"eclipsefestival.org","$225","GoDaddy"
"losroblesmasterchorale.org","$220","GoDaddy"
"belibostore.com","$220","GoDaddy"
"frenchmans.com","$220","GoDaddy"
"bikevibe.com","$216","Dynadot"
"pesonanusantara.id","$215","Namecheap"
"benettonf1.com","$210","GoDaddy"
"butchesandbabies.com","$210","GoDaddy"
"tribetactics.com","$207","GoDaddy"
"telicthoughts.com","$205","GoDaddy"
"codeprozone.com","$205","GoDaddy"
"thegrandtourinvenice.com","$205","GoDaddy"
"telmexhub.com","$205","GoDaddy"
"pizzagloucester.com","$205","GoDaddy"
"livingwellincommunities.com","$205","GoDaddy"
"styleshbio.com","$205","GoDaddy"
"webrtcbydralex.com","$205","GoDaddy"
"beyond-bedding.com","$205","GoDaddy"
"austinvisiontherapycenter.com","$205","GoDaddy"
"geargamers.com","$205","GoDaddy"
"samantashoes.com","$205","GoDaddy"
"abumisushi.com","$205","GoDaddy"
"nixsnowblowing.com","$200","GoDaddy"
"fabjewels.com","$200","DropCatch"
"indoafricabio.com","$200","GoDaddy"
"microroaster.com","$195","GoDaddy"
"roostersicecreambar.com","$193","GoDaddy"
"applyhouston.org","$190","GoDaddy"
"rootedminds.com","$190","GoDaddy"
"clubmode.com","$190","Dynadot"
"trimworx.com","$189","DropCatch"
"cannabiscommerce.org","$188","GoDaddy"
"amateurtv-archiver.com","$186","Namecheap"
"subsettlement.com","$185","Namecheap"
"monstrummedia.com","$185","GoDaddy"
"franklinmiles.com","$185","GoDaddy"
"tashalharrison.com","$185","GoDaddy"
"ixaka.com","$185","GoDaddy"
"callahancreek.com","$183","GoDaddy"
"revistafashionnews.com","$180","Namecheap"
"samysoft.net","$180","GoDaddy"
"goodbynature.com","$180","GoDaddy"
"aandp-group.com","$180","GoDaddy"
"motoyard.com","$176","GoDaddy"
"iacertifiedcoaches.org","$175","GoDaddy"
"instafull.com","$172","GoDaddy"
"thelastdegree.com","$170","Namecheap"
"healthyplanetandpeople.org","$170","GoDaddy"
"36909.com","$169","GoDaddy"
"westslopeliquors.com","$165","GoDaddy"
"honeyandhairsalon.com","$165","GoDaddy"
"66382.com","$165","GoDaddy"
"lairoftheminotaur.net","$165","GoDaddy"
"fit2live.com","$162","GoDaddy"
"lange.co","$160","Dynadot"
"ozstudios.com","$160","GoDaddy"
"resortart.com","$160","GoDaddy"
"classtechnology.com","$159","GoDaddy"
"gags.tv","$159","Dynadot"
"encontrocentral.com","$156","Dynadot"
"coverallfamilies.org","$155","Namecheap"
"chromelens.xyz","$155","Namecheap"
"thepipeking.com","$155","GoDaddy"
"rosesfm.com","$155","GoDaddy"
"contactosdetrabajo.com","$155","GoDaddy"
"petsmack.com","$155","Dynadot"
"ghostlinedc.com","$155","GoDaddy"
"goldencranetroy.com","$155","GoDaddy"
"keyguardsecurity.com","$155","Dynadot"
"rare.cc","$155","Dynadot"
"grishamband.com","$155","GoDaddy"
"coffease.com","$155","GoDaddy"
"payspi.org","$155","GoDaddy"
"chehalisnaturopathic.com","$155","GoDaddy"
"zahragroup.com","$154","GoDaddy"
"vineproperty.com","$154","GoDaddy"
"hireinterns.com","$152","GoDaddy"
"nevvy.com","$151","GoDaddy"
"online777slots.com","$151","GoDaddy"
"mkprint.com","$145","GoDaddy"
"lawem.com","$145","GoDaddy"
"casaroofing.com","$145","GoDaddy"
"njroofers.com","$145","DropCatch"
"artvinpost.com","$144","DropCatch"
"climafresh.com","$140","GoDaddy"
"pqih.com","$140","DropCatch"
"hiltonheadlawyers.com","$140","GoDaddy"
"designoflife.com","$135","GoDaddy"
"codingcon.com","$135","GoDaddy"
"splatbrothers.com","$135","GoDaddy"
"stubba.com","$134","DropCatch"
"newhorizonsschool.com","$132","GoDaddy"
"suricatopizzaria.com","$131","GoDaddy"
"78550.com","$131","GoDaddy"
"78660.com","$131","GoDaddy"
"thefactorytokyo.com","$130","GoDaddy"
"tedauto.com","$130","DropCatch"
"irenerocam.com","$130","GoDaddy"
"gtfo.co","$130","Park.io"
"job-fair.com","$127","GoDaddy"
"animefox.mobi","$126","GoDaddy"
"executionplan.com","$126","GoDaddy"
"h0varda.com","$125","Namecheap"
"paperworksstudio.com","$125","Namecheap"
"warriorshield.com","$125","GoDaddy"
"towtruckclarksville.com","$125","GoDaddy"
"pocononews.net","$125","GoDaddy"
"rankguaranteeseo.com","$120","GoDaddy"
"webhostinggroup.com","$120","GoDaddy"
"schopping.com","$120","Dynadot"
"havagardens.com","$120","GoDaddy"
"fontnerd.com","$120","GoDaddy"
"clubsevensins.com","$120","Dynadot"
"chemicalheritage.org","$118","Dynadot"
"zboj.com","$117","GoDaddy"
"egyw.com","$116","Sav.com"
"austriangroup.com","$115","GoDaddy"
"getalifegetactive.com","$115","GoDaddy"
"ytuw.com","$115","GoDaddy"
"inclusioninstitute.com","$115","GoDaddy"
"subscriptionscore.com","$115","Dynadot"
"saraletourneauwriter.com","$114","DropCatch"
"airgm.cn","$112","Dynadot"
"dyjfn.cn","$112","Dynadot"
"vivienne-paris.com","$111","DropCatch"
"funnelsdirect.com","$111","DropCatch"
"ristoranteshooters.com","$110","GoDaddy"
"coastalhomebuilding.com","$110","GoDaddy"
"dn-dn.cn","$108","Dynadot"
"graduaproject.com","$107","Namecheap"
"lifekitchens.com","$107","Namecheap"
"rbw.ai","$107","Namecheap"
"askoranswerme.com","$106","GoDaddy"
"marybukoh.com","$105","Namecheap"
"sittingtime.com","$105","GoDaddy"
"dimsumseattle.com","$105","GoDaddy"
"surplusrifleforum.com","$105","GoDaddy"
"actremediation.com","$105","GoDaddy"
"readergirlsblog.com","$105","GoDaddy"
"77q.cc","$105","GoDaddy"
"janethowell.com","$105","GoDaddy"
"flavourspace.com","$105","GoDaddy"
"artexplained.com","$105","GoDaddy"
"nacastle.com","$105","GoDaddy"
"riverwoodspocatello.com","$105","GoDaddy"
"beachhero.com","$105","GoDaddy"
"nftlot.com","$104","GoDaddy"
"nikiani.com","$103","Namecheap"
"volleyball.me","$103","Namecheap"
"mathsnetib.com","$103","GoDaddy"
"lottotube.com","$102","Namecheap"
"blaze-card.com","$102","Dynadot"
"saber-bytes.com","$102","GoDaddy"
"hnadownloads.co","$102","Park.io"
"workhomeproject.org","$101","GoDaddy"
"maris-urbangarden.com","$101","GoDaddy"
"radiobrasilplay.com","$101","GoDaddy"
"2099.net","$101","GoDaddy"
"thehawthornnyc.com","$101","GoDaddy"
"ikebanadallas.org","$101","GoDaddy"
"pilotpeerassist.com","$101","GoDaddy"
"reportbot.io","$100","Sav.com"
"habitat-store.com","$100","GoDaddy"
"findinspirations.com","$100","Namecheap"
"nyblade.com","$100","GoDaddy"
"iamthaieatery.com","$100","GoDaddy"
"ellicottcityoldtownmarket.com","$100","GoDaddy"
"intentionalinspirations.com","$100","GoDaddy"
"yemensaeed.com","$100","GoDaddy"
"infographicb2b.com","$100","GoDaddy"
"realpropertyappraisals.com","$100","GoDaddy"
"digitalmarketingking.com","$100","GoDaddy"
"squirrelresort.com","$100","GoDaddy"
"knowledgematrixinc.com","$100","GoDaddy"
