Domain,Price,Venue
"2h.com","$115,000",Sedo
"ope.com","$58,050",GoDaddy
"boats.co","$40,000","DomainMarket.com"
"jge.com","$29,500",GoDaddy
"southafrica.info","$21,805",GoDaddy
"xtremeplus.com","$14,888","DomainMarket.com"
"teamherschel.com","$13,250",GoDaddy
"mhautah.org","$12,250",GoDaddy
"greatamerica.net","$8,500",DropCatch
"myvalue.com","$8,202",DropCatch
"flutin.com","$7,100",GoDaddy
"warriornun.com","$5,988",GoDaddy
"rumbatime.com","$5,900",GoDaddy
"stablefi.org","$5,250",Afternic
"durhamrealestate.org","$5,100",GoDaddy
"7dfps.com","$5,005",DropCatch
"guestsociety.com","$4,949","Spaceship.com"
"mingolanguage.org","$4,550",Namecheap
"aubergelafascine.com","$4,328",GoDaddy
"dykancoin.io","$4,050",GoDaddy
"scienceindiafest.org","$3,716",GoDaddy
"theloosechequers.com","$3,570",GoDaddy
"uclacbam.org","$3,550",GoDaddy
"jimersoncobb.com","$3,550",GoDaddy
"pitterpatterfelinerescue.org","$3,350",GoDaddy
"travelingspiceco.com","$3,280",GoDaddy
"qualitysystem.com","$3,198",DropCatch
"porchgalleryojai.com","$3,125",GoDaddy
"metronomhealth.com","$3,106",GoDaddy
"purshcollection.com","$3,050",GoDaddy
"nataliehodson.com","$3,050",GoDaddy
"connectingkidsnv.org","$3,050",GoDaddy
"cbddosagecalculator.com","$3,050",GoDaddy
"langcraft.com","$3,000",Afternic
"angelchickenkitchen.com","$2,938",GoDaddy
"alquora.com","$2,865","Atom.com"
"pilotstogether.org","$2,550",GoDaddy
"nanaheals.com","$2,525",Namecheap
"athenasd.org","$2,525",Namecheap
"santafefoods.com","$2,500",Afternic
"sacreblue.org","$2,500",Namecheap
"rarebitcoin.com","$2,488",Afternic
"saddleonline.com","$2,450",GoDaddy
"sanctuarynotdeportation.org","$2,322",DropCatch
"klowdenmann.com","$2,315",GoDaddy
"cultivator.ai","$2,205",Namecheap
"academyplus.com","$2,200",DropCatch
"hopebeyondhell.net","$2,175",GoDaddy
"tecnoculto.com","$2,108",DropCatch
"rident.com","$2,101",GoDaddy
"seedsforthefutureturkiye.com","$2,100",DropCatch
"hookandlinebos.com","$2,100",GoDaddy
"livinginthegap.org","$2,025",Namecheap
"alaskaberries.com","$2,025",GoDaddy
"hashrush.com","$2,001",GoDaddy
"mayabeauty.com","$1,990",GoDaddy
"considerthefork.com","$1,951",GoDaddy
"legendsrealestateschool.com","$1,900",GoDaddy
"littlecreeklodge.net","$1,875",GoDaddy
"donasd.com","$1,725",GoDaddy
